__time,/qualisys/ship_deck_platform/pose/pose/position/z
1744111527.34691,1.628079224
1744111527.35112,1.630138916
1744111527.36021,1.631982666
1744111527.37807,1.634052979
1744111527.37949,1.635802856
1744111527.38953,1.637907349
1744111527.41654,1.639775879
1744111527.42028,1.641818237
1744111527.42503,1.643642822
1744111527.42863,1.645563843
1744111527.44058,1.647626099
1744111527.45793,1.649539062
1744111527.46129,1.651500366
1744111527.46527,1.653279907
1744111527.4753,1.655181885
1744111527.48549,1.657093018
1744111527.49571,1.659133179
1744111527.50614,1.660980469
1744111527.51538,1.662944702
1744111527.52504,1.664855103
1744111527.53983,1.666857422
1744111527.54978,1.668679199
1744111527.56018,1.670738647
1744111527.56534,1.672418945
1744111527.58002,1.674575073
1744111527.59002,1.676267822
1744111527.60014,1.678397217
1744111527.61,1.680179443
1744111527.62163,1.682234009
1744111527.62531,1.68396228
1744111527.64366,1.685929932
1744111527.65254,1.687818115
1744111527.65755,1.689733521
1744111527.66738,1.691734985
1744111527.68076,1.693645752
1744111527.68533,1.695561035
1744111527.71162,1.697457153
1744111527.71234,1.699363281
1744111527.7195,1.701296265
1744111527.72957,1.70326001
1744111527.74394,1.70511853
1744111527.76084,1.707193481
1744111527.76366,1.708933228
1744111527.77101,1.711011963
1744111527.77992,1.712681152
1744111527.78504,1.714858643
1744111527.79628,1.716543945
1744111527.81083,1.718698853
1744111527.81533,1.720382813
1744111527.82569,1.722370483
1744111527.83632,1.724209106
1744111527.84577,1.726188721
1744111527.86051,1.72798877
1744111527.86571,1.729945923
1744111527.88616,1.731799194
1744111527.88671,1.73373877
1744111527.8953,1.735644531
1744111527.90994,1.737507446
1744111527.92167,1.739470703
1744111527.92539,1.741354126
1744111527.9407,1.743440796
1744111527.94586,1.745118408
1744111527.95972,1.747269653
1744111527.97139,1.748987671
1744111527.97597,1.751099609
1744111527.98508,1.752889648
1744111527.9961,1.754800659
1744111528.00539,1.756647217
1744111528.01593,1.7585896
1744111528.02554,1.760376709
1744111528.04048,1.7623125
1744111528.0507,1.764246704
1744111528.06253,1.76603125
1744111528.06546,1.768013672
1744111528.08063,1.769722412
1744111528.0852,1.771789307
1744111528.09527,1.773488403
1744111528.10585,1.775714722
1744111528.11991,1.777183472
1744111528.1302,1.779464844
1744111528.1352,1.781038574
1744111528.14975,1.783108887
1744111528.15504,1.784937988
1744111528.17028,1.786767578
1744111528.17999,1.788717285
1744111528.19037,1.790578369
1744111528.19932,1.792546875
1744111528.20587,1.794397095
1744111528.21531,1.796459717
1744111528.23714,1.798073975
1744111528.23799,1.800342163
1744111528.24496,1.801956421
1744111528.25997,1.804020874
1744111528.27021,1.80572644
1744111528.28005,1.807795532
1744111528.29013,1.809448364
1744111528.29499,1.811522095
1744111528.31005,1.813307861
1744111528.31618,1.81527771
1744111528.33282,1.817162109
1744111528.33946,1.819047607
1744111528.34508,1.820914795
1744111528.36382,1.822909912
1744111528.36949,1.824726074
1744111528.37516,1.826623291
1744111528.40026,1.828517334
1744111528.40126,1.8304104
1744111528.41004,1.832341064
1744111528.42881,1.834241089
1744111528.43076,1.836079102
1744111528.44099,1.837852661
1744111528.44999,1.839621826
1744111528.45663,1.841336304
1744111528.46722,1.843099976
1744111528.47551,1.844744263
1744111528.48511,1.846392456
1744111528.50012,1.847914551
1744111528.50987,1.849543091
1744111528.52006,1.850927368
1744111528.52694,1.852535156
1744111528.53687,1.853911133
1744111528.55553,1.855203979
1744111528.55608,1.856478149
1744111528.56529,1.857769531
1744111528.58652,1.858930176
1744111528.58741,1.860184692
1744111528.59547,1.861333252
1744111528.60537,1.862540894
1744111528.62393,1.863640991
1744111528.62563,1.864821289
1744111528.63985,1.865875122
1744111528.64514,1.866915039
1744111528.66037,1.867967529
1744111528.66574,1.868912109
1744111528.68038,1.869967773
1744111528.68508,1.870883789
1744111528.69969,1.871783691
1744111528.70502,1.872711914
1744111528.71516,1.873517944
1744111528.72496,1.87428125
1744111528.73986,1.875174561
1744111528.74988,1.875907837
1744111528.75946,1.87668689
1744111528.77713,1.87746582
1744111528.7776,1.878306274
1744111528.78535,1.879148315
1744111528.79643,1.879954956
1744111528.81036,1.880721436
1744111528.81583,1.881524414
1744111528.83095,1.882335571
1744111528.83518,1.883133179
1744111528.84671,1.883990479
1744111528.85977,1.884756348
1744111528.87377,1.885536255
1744111528.88464,1.886283203
1744111528.88841,1.886886108
1744111528.8998,1.887556274
1744111528.90936,1.8882052
1744111528.91517,1.888714966
1744111528.92544,1.889164673
1744111528.93524,1.889516113
1744111528.94996,1.889824829
1744111528.95841,1.890112549
1744111528.98438,1.890391602
1744111528.98541,1.890602661
1744111528.99003,1.890654297
1744111528.9953,1.890653931
1744111529.01652,1.890602783
1744111529.02005,1.890526855
1744111529.0252,1.890501099
1744111529.04883,1.890563232
1744111529.04944,1.890605957
1744111529.06099,1.890639526
1744111529.081,1.890608521
1744111529.08144,1.890606689
1744111529.0901,1.89056311
1744111529.09986,1.890533936
1744111529.10957,1.89047229
1744111529.11597,1.8905177
1744111529.13095,1.890567993
1744111529.14056,1.890588257
1744111529.14944,1.890549316
1744111529.1568,1.890428223
1744111529.17739,1.890302612
1744111529.17995,1.890109741
1744111529.18582,1.889851807
1744111529.20968,1.889495972
1744111529.21009,1.889104004
1744111529.21596,1.888683472
1744111529.24092,1.888230957
1744111529.24192,1.887844482
1744111529.25021,1.88737146
1744111529.25533,1.886796753
1744111529.27392,1.886291382
1744111529.2773,1.885658569
1744111529.2969,1.88495752
1744111529.29987,1.884104004
1744111529.31359,1.8832052
1744111529.31962,1.882192871
1744111529.326,1.881140015
